time,load_user1,load_user2,load_user3,load_user4,load_user5,load_user6,load_user7,load_user8,load_user9,load_user10,pv,wind
139,36.27269006,6.125146005,35.20070659,30.57734591,29.77013082,14.09915361,18.82350731,13.01658502,35.19012294,24.98615116,0.635821297,0.194916324
140,40.73650214,6.744789156,35.41670413,48.95849813,37.82384431,14.00696581,21.30114208,14.05689196,27.45973086,28.68662672,0.502206697,0.192298031
141,27.95130363,7.399203012,32.52861064,36.68614573,36.1082335,13.00601647,20.50914611,10.14042385,34.01865387,25.31774411,0.816909546,0.252267266
142,40.75037048,7.121836278,33.77586901,42.57473524,40.77234798,13.42007984,19.5392894,13.48667414,30.76350862,25.0161851,0.471999601,0.221334328
143,39.05892869,8.461881015,32.03200636,36.78867332,34.8964749,14.7393093,20.54660945,12.04124088,30.93582492,22.64885938,0.707151373,0.150835309
144,31.80967685,8.052743443,36.93286902,30.16172171,33.546174,14.91960963,17.52871632,13.4265739,29.51431812,28.46042247,0.274242295,0.213119434
145,33.93125938,8.559646972,35.06880099,29.83706236,32.80772187,14.92111604,20.01192041,14.96401677,25.80529402,24.0041567,0.302248316,0.211640513
146,27.76622988,6.001421968,30.6622098,25.99437599,32.84457221,18.21402698,21.87794499,15.35131297,29.79324096,24.0384114,0.537013837,0.134979609
147,45.09704342,7.287170926,35.37897703,30.43527592,33.47123157,16.00164526,19.3534945,18.22481867,25.83047459,24.83433245,0.758667869,0.167543943
148,31.98805519,7.371813964,28.82567045,29.93030367,39.72566046,16.69392149,19.05995149,19.17848354,26.56079436,25.71115959,0.729196976,0.183344461
149,33.39974157,6.962291705,28.2684906,21.45386658,27.77578174,12.84417727,24.89232395,17.39814648,27.51476647,22.31090882,0.547203091,0.20930327
150,32.07829136,7.193772113,28.15408098,20.81998445,33.66064376,11.53674076,21.68770216,17.82082128,28.19931896,25.43270925,0.529998903,0.217243482
151,34.28486926,8.377838126,31.34057859,19.70133564,31.05495637,14.92050636,18.46988223,13.16289975,30.77189966,24.12510776,0.489435471,0.234808785
152,33.55380855,6.719814273,33.5973481,23.80445116,36.08427533,14.29090911,18.48524159,14.22654122,33.02399732,29.50528268,0.441346438,0.177623043
153,30.22821367,8.749929205,35.42573065,28.47520956,26.74057016,13.30744331,17.73546313,18.36604666,31.16953539,23.80633409,0.507954004,0.140201734
154,35.14360503,9.136011138,30.56370258,25.33126012,31.92479189,11.39723676,16.90025163,15.5253049,28.90102584,23.89943744,0.44816916,0.165355976
155,35.17366655,7.843454832,29.81429181,25.2107811,27.78847427,11.6593955,16.28672979,11.9645461,30.36868521,27.55531918,0.415497852,0.190876493
156,33.84011817,9.241461239,32.99099926,29.27651057,29.32196886,13.78685834,21.50784822,14.93148538,33.71807607,23.8110249,0.484077484,0.184867591
157,35.48689865,9.015314634,33.56242866,27.64586251,29.1630238,12.52272392,18.16893452,12.93455634,25.77104752,26.14274003,0.345397789,0.152159698
158,31.90892731,7.828354292,27.95210637,25.2628942,27.80487982,15.07568052,17.31591236,16.52971162,30.25211658,24.21435272,0.320743718,0.146435246
159,30.32340245,7.456364669,30.2386958,29.09862366,30.32413382,12.03430515,17.45827753,16.27835652,23.94170489,20.95140157,0.375385469,0.208252376
160,33.29479278,8.428995671,31.79986818,32.04447976,29.30367373,15.60129255,15.39692848,14.79865066,22.51615371,22.96522364,0.224118828,0.187942775
161,30.53062122,6.727643785,29.60034427,32.39413413,30.63602271,10.80813086,15.89709606,11.57452092,22.90802154,23.79001548,0.175373751,0.133122506
162,28.43000827,7.07939652,30.24533843,29.31027774,25.35730431,9.888583715,17.28789498,14.72599366,21.37760469,24.8968801,0.128385261,0.17566897
163,35.01233248,8.071673106,29.35854378,27.38859136,28.62699588,13.35037208,15.50567484,14.24332044,22.07385757,28.34393616,0.217602683,0.174535474
