time;load_user1;load_user2;load_user3;load_user4;load_user5;load_user6;load_user7;load_user8;load_user9;load_user10;std_load_user1;std_load_user2;std_load_user3;std_load_user4;std_load_user5;std_load_user6;std_load_user7;std_load_user8;std_load_user9;std_load_user10;pv;std_pv;wind;std_wind
65;31.83954347;7.321899736;15.64964716;29.50950502;31.75952156;13.18086592;16.20006977;14.54113924;11.4577478;4.947916667;3.049041097;2.196569921;4.694894147;8.852851506;3.280336388;2.731951829;2.327838831;2.942724084;3.43732434;1.484375;0.145505203;0.075976584;0.1545;0.20240021
66;31.83954347;7.321899736;15.64964716;29.50950502;31.75952156;13.18086592;16.20006977;14.54113924;11.4577478;4.947916667;3.049041097;2.196569921;4.694894147;8.852851506;3.280336388;2.731951829;2.327838831;2.942724084;3.43732434;1.484375;0.119062686;0.075976584;0.1545;0.20240021
67;31.83954347;7.321899736;15.64964716;29.50950502;31.75952156;13.18086592;16.20006977;14.54113924;11.4577478;4.947916667;3.049041097;2.196569921;4.694894147;8.852851506;3.280336388;2.731951829;2.327838831;2.942724084;3.43732434;1.484375;0.10818003;0.075976584;0.1545;0.20240021
68;31.83954347;7.321899736;15.64964716;29.50950502;31.75952156;13.18086592;16.20006977;14.54113924;11.4577478;4.947916667;3.049041097;2.196569921;4.694894147;8.852851506;3.280336388;2.731951829;2.327838831;2.942724084;3.43732434;1.484375;0.148402131;0.075976584;0.1545;0.20240021
69;33.40046996;7.728671944;16.93648817;30.16965567;34.12810828;13.79189944;17.93563579;15.55907173;11.17669102;4.389880952;3.938947142;2.318601583;5.080946451;9.0508967;4.107491216;2.465540461;2.446566995;2.938021489;3.353007307;1.316964286;0.001904113;0.003555957;0.162766667;0.188084296
70;33.40046996;7.728671944;16.93648817;30.16965567;34.12810828;13.79189944;17.93563579;15.55907173;11.17669102;4.389880952;3.938947142;2.318601583;5.080946451;9.0508967;4.107491216;2.465540461;2.446566995;2.938021489;3.353007307;1.316964286;0.00235707;0.003555957;0.162766667;0.188084296
71;33.40046996;7.728671944;16.93648817;30.16965567;34.12810828;13.79189944;17.93563579;15.55907173;11.17669102;4.389880952;3.938947142;2.318601583;5.080946451;9.0508967;4.107491216;2.465540461;2.446566995;2.938021489;3.353007307;1.316964286;0.00215208;0.003555957;0.162766667;0.188084296
72;33.40046996;7.728671944;16.93648817;30.16965567;34.12810828;13.79189944;17.93563579;15.55907173;11.17669102;4.389880952;3.938947142;2.318601583;5.080946451;9.0508967;4.107491216;2.465540461;2.446566995;2.938021489;3.353007307;1.316964286;0.002313505;0.003555957;0.162766667;0.188084296
73;40.39107083;13.17612137;17.23225405;27.69255141;39.06200818;18.01675978;21.51142508;21.43459916;12.58197489;4.411139456;4.028703768;2.681653631;5.169676214;8.307765423;5.057757516;3.24946505;2.33886607;3.880390422;3.774592468;1.323341837;0;0;0.1786;0.181787599
74;40.39107083;13.17612137;17.23225405;27.69255141;39.06200818;18.01675978;21.51142508;21.43459916;12.58197489;4.411139456;4.028703768;2.681653631;5.169676214;8.307765423;5.057757516;3.24946505;2.33886607;3.880390422;3.774592468;1.323341837;0;0;0.1786;0.181787599
75;40.39107083;13.17612137;17.23225405;27.69255141;39.06200818;18.01675978;21.51142508;21.43459916;12.58197489;4.411139456;4.028703768;2.681653631;5.169676214;8.307765423;5.057757516;3.24946505;2.33886607;3.880390422;3.774592468;1.323341837;0;0;0.1786;0.181787599
76;40.39107083;13.17612137;17.23225405;27.69255141;39.06200818;18.01675978;21.51142508;21.43459916;12.58197489;4.411139456;4.028703768;2.681653631;5.169676214;8.307765423;5.057757516;3.24946505;2.33886607;3.880390422;3.774592468;1.323341837;0;0;0.1786;0.181787599
77;43.95350789;17.44173263;17.87567455;12.41810139;41.99716714;20.89734637;23.60893075;27.7056962;13.85141465;3.374787415;3.958009884;1.99995394;5.362702366;3.725430416;4.192998847;2.94321644;3.058739169;3.547914211;4.155424396;1.012436224;0;0;0.187;0.172830593
78;43.95350789;17.44173263;17.87567455;12.41810139;41.99716714;20.89734637;23.60893075;27.7056962;13.85141465;3.374787415;3.958009884;1.99995394;5.362702366;3.725430416;4.192998847;2.94321644;3.058739169;3.547914211;4.155424396;1.012436224;0;0;0.187;0.172830593
