time,load_user1,load_user2,load_user3,load_user4,load_user5,load_user6,load_user7,load_user8,load_user9,load_user10,load_user11,pv,wind
134,2.121076,2.545956,0.236095,0.176074,0.212761,0.341681,0.341681,0.29596,0.144162,0.161013,0.29596,0.34240978,0.15215174
135,2.121076,2.545956,0.236095,0.139392,0.212761,0.341681,0.341681,0.29596,0.106718,0.123568,0.29596,0.223281114,0.17798143
136,2.121076,2.545956,0.236095,0.121051,0.212761,0.341681,0.341681,0.29596,0.106718,0.123568,0.29596,0.416607609,0.145740576
137,1.616058,1.697304,0.865682,0.084369,0.103653,0.178976,0.178976,0.172643,0.069273,0.086123,0.29596,0.49119754,0.226790129
138,1.363549,1.272978,1.180475,0.066028,0.049099,0.097623,0.097623,0.110985,0.05055,0.067401,0.110985,0.470529953,0.112236465
139,1.363549,1.272978,1.180475,0.066028,0.049099,0.097623,0.097623,0.110985,0.05055,0.067401,0.110985,0.635821297,0.194916324
140,1.363549,1.272978,1.180475,0.066028,0.049099,0.097623,0.097623,0.110985,0.05055,0.067401,0.110985,0.502206697,0.192298031
141,1.363549,1.272978,1.180475,0.066028,0.049099,0.097623,0.097623,0.110985,0.05055,0.067401,0.110985,0.816909546,0.252267266
142,1.363549,1.272978,1.180475,0.066028,0.049099,0.097623,0.097623,0.110985,0.05055,0.067401,0.110985,0.471999601,0.221334328
143,1.363549,1.272978,1.180475,0.066028,0.049099,0.097623,0.097623,0.110985,0.05055,0.067401,0.110985,0.707151373,0.150835309
144,1.363549,1.272978,1.180475,0.066028,0.049099,0.097623,0.097623,0.110985,0.05055,0.067401,0.110985,0.274242295,0.213119434
145,1.868567,2.12163,3.541425,0.066028,0.049099,0.097623,0.097623,0.110985,0.05055,0.067401,0.110985,0.302248316,0.211640513
146,2.121076,2.545956,4.7219,0.066028,0.049099,0.097623,0.097623,0.110985,0.05055,0.067401,0.110985,0.537013837,0.134979609
147,2.121076,2.545956,4.7219,0.066028,0.049099,0.097623,0.097623,0.110985,0.05055,0.067401,0.110985,0.758667869,0.167543943
148,2.121076,2.545956,4.7219,0.066028,0.049099,0.097623,0.097623,0.110985,0.05055,0.067401,0.110985,0.729196976,0.183344461
149,2.121076,2.545956,4.7219,0.198083,0.147296,0.292869,0.292869,0.332955,0.151651,0.202202,0.110985,0.547203091,0.20930327
150,2.121076,2.545956,4.7219,0.264111,0.196395,0.390492,0.390492,0.44394,0.202202,0.269602,0.44394,0.529998903,0.217243482
151,2.121076,2.545956,4.7219,0.264111,0.196395,0.390492,0.390492,0.44394,0.202202,0.269602,0.44394,0.489435471,0.234808785
152,2.121076,2.545956,4.7219,0.264111,0.196395,0.390492,0.390492,0.44394,0.202202,0.269602,0.44394,0.441346438,0.177623043
153,2.121076,2.545956,4.7219,0.264111,0.196395,0.390492,0.390492,0.44394,0.202202,0.269602,0.44394,0.507954004,0.140201734
154,2.121076,2.545956,4.7219,0.264111,0.196395,0.390492,0.390492,0.44394,0.202202,0.269602,0.44394,0.44816916,0.165355976
155,2.121076,2.545956,4.7219,0.264111,0.196395,0.390492,0.390492,0.44394,0.202202,0.269602,0.44394,0.415497852,0.190876493
156,2.121076,2.545956,4.7219,0.264111,0.196395,0.390492,0.390492,0.44394,0.202202,0.269602,0.44394,0.484077484,0.184867591
157,1.616058,1.272978,3.147933,0.264111,0.196395,0.390492,0.390492,0.44394,0.202202,0.269602,0.44394,0.345397789,0.152159698
158,1.363549,0.636489,2.36095,0.264111,0.196395,0.390492,0.390492,0.44394,0.202202,0.269602,0.44394,0.320743718,0.146435246
159,1.363549,0.636489,2.36095,0.264111,0.196395,0.390492,0.390492,0.44394,0.202202,0.269602,0.44394,0.375385469,0.208252376
160,1.363549,0.636489,2.36095,0.264111,0.196395,0.390492,0.390492,0.44394,0.202202,0.269602,0.44394,0.224118828,0.187942775
161,1.363549,0.636489,2.36095,0.337475,0.305503,0.553197,0.553197,0.567256,0.277091,0.344492,0.44394,0.175373751,0.133122506
162,1.363549,0.636489,2.36095,0.374157,0.360058,0.63455,0.63455,0.628914,0.333259,0.400659,0.628914,0.128385261,0.17566897
163,1.363549,0.636489,2.36095,0.374157,0.360058,0.63455,0.63455,0.690573,0.370703,0.438104,0.628914,0.217602683,0.174535474
164,1.363549,0.636489,2.36095,0.410839,0.360058,0.63455,0.63455,0.721402,0.370703,0.438104,0.659744,0.191054721,0.156272561
165,1.363549,0.636489,2.36095,0.341143,0.294593,0.504386,0.504386,0.573422,0.303303,0.348236,0.721402,0.029096577,0.183548367
166,1.363549,0.636489,2.36095,0.297125,0.26186,0.439304,0.439304,0.499432,0.269602,0.303303,0.499432,0.032429396,0.139401149
167,1.363549,0.636489,2.36095,0.297125,0.26186,0.439304,0.439304,0.499432,0.269602,0.303303,0.499432,0.036073609,0.098364359
168,1.363549,0.636489,2.36095,0.297125,0.26186,0.439304,0.439304,0.499432,0.269602,0.303303,0.499432,0.042118801,0.218114465
169,1.11104,1.485141,2.36095,0.407171,0.370968,0.602009,0.602009,0.684407,0.381937,0.415637,0.499432,0,0.201057919
170,0.984785,1.909467,2.36095,0.462194,0.425523,0.683361,0.683361,0.776894,0.438104,0.471804,0.776894,0,0.15724358
171,0.984785,1.909467,2.36095,0.462194,0.425523,0.683361,0.683361,0.776894,0.438104,0.471804,0.776894,0,0.202040475
172,0.984785,1.909467,2.36095,0.462194,0.425523,0.683361,0.683361,0.776894,0.438104,0.471804,0.776894,0,0.170503025
173,0.449466,1.909467,3.934916,0.550231,0.490988,0.813525,0.813525,0.924874,0.505505,0.561672,0.776894,0,0.126268708
174,0.181806,1.909467,4.7219,0.594249,0.52372,0.878607,0.878607,0.998864,0.539205,0.606605,0.998864,0,0.163600408
175,0.181806,1.909467,4.7219,0.594249,0.52372,0.878607,0.878607,0.998864,0.539205,0.606605,0.998864,0,0.137956717
176,0.181806,1.909467,4.7219,0.594249,0.52372,0.878607,0.878607,0.998864,0.539205,0.606605,0.998864,0,0.12664144
177,0.181806,1.909467,4.7219,0.594249,0.52372,0.878607,0.878607,0.998864,0.539205,0.606605,0.998864,0,0.210812457
178,0.181806,1.909467,4.7219,0.594249,0.52372,0.878607,0.878607,0.998864,0.539205,0.606605,0.998864,0,0.206037832
179,0.181806,1.909467,4.7219,0.594249,0.52372,0.878607,0.878607,0.998864,0.539205,0.606605,0.998864,0,0.145311193
180,0.181806,1.909467,4.7219,0.594249,0.52372,0.878607,0.878607,0.998864,0.539205,0.606605,0.998864,0,0.168605543
181,0.181806,0.721354,4.7219,0.594249,0.52372,0.878607,0.878607,0.998864,0.539205,0.606605,0.998864,0,0.242430597
182,0.181806,0.127298,4.7219,0.594249,0.52372,0.878607,0.878607,0.998864,0.539205,0.606605,0.998864,0,0.124299186
183,0.181806,0.127298,4.7219,0.594249,0.52372,0.878607,0.878607,0.998864,0.539205,0.606605,0.998864,0,0.144059756
184,0.181806,0.127298,4.7219,0.594249,0.52372,0.878607,0.878607,0.998864,0.539205,0.606605,0.998864,0,0.178333003
185,0.181806,0.127298,3.934916,0.308129,0.272771,0.455574,0.455574,0.51793,0.280836,0.314536,0.998864,0,0.101373731
186,0.181806,0.127298,3.541425,0.165069,0.147296,0.244057,0.244057,0.277462,0.151651,0.168502,0.277462,0,0.137366402
187,0.181806,0.127298,3.541425,0.165069,0.147296,0.244057,0.244057,0.277462,0.151651,0.168502,0.277462,0,0.201623983
188,0.181806,0.127298,3.541425,0.165069,0.147296,0.244057,0.244057,0.277462,0.151651,0.168502,0.277462,0,0.222140819
189,0.181806,0.127298,1.967458,0.165069,0.147296,0.244057,0.244057,0.277462,0.151651,0.168502,0.277462,0,0.249858517
190,0.181806,0.127298,1.180475,0.165069,0.147296,0.244057,0.244057,0.277462,0.151651,0.168502,0.277462,0,0.197089214
191,0.181806,0.127298,1.180475,0.165069,0.147296,0.244057,0.244057,0.277462,0.151651,0.168502,0.277462,0,0.216319713
192,0.181806,0.127298,1.180475,0.165069,0.147296,0.244057,0.244057,0.277462,0.151651,0.168502,0.277462,0,0.191200727
193,0.353513,0.212163,0.550888,0.099042,0.081831,0.146435,0.146435,0.166477,0.084251,0.101101,0.277462,0,0.229139309
194,0.439366,0.254596,0.236095,0.066028,0.049099,0.097623,0.097623,0.110985,0.05055,0.067401,0.110985,0,0.240684824
195,0.439366,0.254596,0.236095,0.066028,0.049099,0.097623,0.097623,0.110985,0.05055,0.067401,0.110985,0,0.207094538
196,0.439366,0.254596,0.236095,0.066028,0.049099,0.097623,0.097623,0.110985,0.05055,0.067401,0.110985,0,0.221599221
197,0.439366,0.254596,0.236095,0.066028,0.049099,0.097623,0.097623,0.110985,0.05055,0.067401,0.110985,0,0.130941432
198,0.439366,0.254596,0.236095,0.066028,0.049099,0.097623,0.097623,0.110985,0.05055,0.067401,0.110985,0,0.234775048
199,0.439366,0.254596,0.236095,0.066028,0.049099,0.097623,0.097623,0.110985,0.05055,0.067401,0.110985,0,0.202096093
200,0.439366,0.254596,0.236095,0.066028,0.049099,0.097623,0.097623,0.110985,0.05055,0.067401,0.110985,0,0.212420453
201,0.439366,0.254596,0.236095,0.066028,0.049099,0.097623,0.097623,0.110985,0.05055,0.067401,0.110985,0,0.218856516
202,0.439366,0.254596,0.236095,0.066028,0.049099,0.097623,0.097623,0.110985,0.05055,0.067401,0.110985,0,0.186001894
203,0.439366,0.254596,0.236095,0.066028,0.049099,0.097623,0.097623,0.110985,0.05055,0.067401,0.110985,0,0.218518465
204,0.439366,0.254596,0.236095,0.066028,0.049099,0.097623,0.097623,0.110985,0.05055,0.067401,0.110985,0,0.210195334
205,0.439366,0.254596,0.236095,0.066028,0.049099,0.097623,0.097623,0.110985,0.05055,0.067401,0.110985,0,0.228811962
